,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
17466,Taxi,male,Tajikistan,TJ,shared,field_partner,23,800,Russian,monthly,Transportation,funded,14,0.086
17467,Retail,group,Ghana,GH,shared,field_partner,61,1700,English,irregular,Retail,funded,7,0.058
17468,Poultry,female,Egypt,EG,shared,field_partner,22,575,English,monthly,Agriculture,funded,14,0.022
17469,Sewing,female,Tajikistan,TJ,shared,field_partner,0,575,Russian,monthly,Services,not_funded,20,0.021
17470,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,1,400,English,irregular,Food,funded,8,0.039
17471,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,4,100,English,irregular,Food,funded,8,0.054
17472,Clothing Sales,group,Dominican Republic,DO,shared,field_partner,86,2575,English,irregular,Clothing,funded,7,0.078
17473,Farming,male,Nicaragua,NI,shared,field_partner,14,575,Spanish,bullet,Agriculture,funded,11,0.161
17474,Food,female,Kenya,KE,shared,field_partner,18,650,English,irregular,Food,funded,14,0.02
17475,Used Clothing,female,Honduras,HN,shared,field_partner,14,375,Spanish,monthly,Clothing,funded,10,0.112
17476,Farming,group,Mali,ML,shared,field_partner,16,525,French,bullet,Agriculture,funded,9,0.594
17477,Agriculture,group,Kenya,KE,shared,field_partner,11,800,English,monthly,Agriculture,not_funded,14,0.02
17478,General Store,female,Philippines,PH,shared,field_partner,13,375,English,irregular,Retail,funded,8,0.091
17479,Grocery Store,female,Togo,TG,shared,field_partner,27,900,French,monthly,Food,funded,17,0.067
17480,Food,male,Colombia,CO,shared,field_partner,6,400,Spanish,bullet,Food,not_funded,15,0.005
17481,Crafts,group,The Democratic Republic of the Congo,CD,shared,field_partner,1,6150,French,irregular,Arts,funded,6,0.164
17482,Personal Housing Expenses,female,Nicaragua,NI,shared,field_partner,16,425,Spanish,monthly,Housing,funded,14,0.161
17483,Food Production/Sales,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Food,funded,8,0.497
17484,Fruits & Vegetables,male,Indonesia,ID,shared,field_partner,6,175,English,irregular,Food,funded,7,0.029
17485,Beauty Salon,female,Tajikistan,TJ,shared,field_partner,5,775,Russian,monthly,Services,not_funded,14,0.021
17486,Consumer Goods,male,Nicaragua,NI,not shared,field_partner,26,700,Spanish,monthly,Personal Use,funded,21,0.161
17487,Personal Medical Expenses,female,Tajikistan,TJ,shared,field_partner,15,400,English,monthly,Health,funded,21,0.033
17488,Clothing Sales,group,Rwanda,RW,shared,field_partner,28,900,English,monthly,Clothing,funded,8,0.292
17489,Personal Medical Expenses,male,Nicaragua,NI,shared,field_partner,16,400,Spanish,monthly,Health,funded,1 Year,0.077
17490,Farming,group,Kenya,KE,shared,field_partner,120,3775,English,bullet,Agriculture,funded,11,0.223
17491,Beauty Salon,female,Vietnam,VN,not shared,field_partner,26,1200,Vietnamese,monthly,Services,funded,14,0.013
17492,Clothing Sales,female,Peru,PE,not shared,field_partner,8,300,Spanish,monthly,Clothing,funded,8,0.071
17493,Pigs,female,Cambodia,KH,not shared,field_partner,39,1200,English,bullet,Agriculture,funded,11,0.16
17494,Home Appliances,group,Cambodia,KH,shared,field_partner,5,200,English,monthly,Personal Use,funded,8,0.12
17495,Fuel/Firewood,male,Honduras,HN,shared,field_partner,35,1050,Spanish,monthly,Retail,funded,14,0.112
17496,Beauty Salon,female,Kenya,KE,shared,field_partner,6,250,English,irregular,Services,funded,14,0.075
17497,Farming,female,Kenya,KE,not shared,field_partner,3,125,English,monthly,Agriculture,funded,1 Year,0.02
17498,Home Energy,group,Lebanon,LB,not shared,field_partner,16,1000,English,monthly,Personal Use,funded,10,0.003
17499,Home Appliances,male,Peru,PE,shared,field_partner,3,725,Spanish,monthly,Personal Use,not_funded,14,0.009
17500,Shoe Sales,female,Philippines,PH,shared,field_partner,40,1225,English,monthly,Retail,funded,8,0.039
17501,Home Appliances,group,Cambodia,KH,shared,field_partner,4,100,English,monthly,Personal Use,funded,8,0.696
17502,Farming,female,Nicaragua,NI,not shared,field_partner,24,775,Spanish,monthly,Agriculture,funded,16,0.108
17503,General Store,female,Philippines,PH,shared,field_partner,12,325,English,irregular,Retail,funded,8,0.422
17504,Food Production/Sales,female,Peru,PE,not shared,field_partner,4,150,Spanish,irregular,Food,funded,6,0.062
17505,Farming,male,Nigeria,NG,shared,field_partner,1,25,English,bullet,Agriculture,funded,19,0.311
17506,Farming,group,Cambodia,KH,shared,field_partner,48,1275,English,monthly,Agriculture,funded,14,0.121
17507,Fishing,female,Cambodia,KH,not shared,field_partner,35,1000,English,monthly,Food,funded,20,0.16
17508,Personal Medical Expenses,female,Lebanon,LB,not shared,field_partner,30,1000,English,monthly,Health,funded,14,0.003
17509,Food,female,Philippines,PH,shared,field_partner,8,300,English,irregular,Food,funded,8,0.055
17510,Beauty Salon,female,Peru,PE,not shared,field_partner,29,725,Spanish,monthly,Services,funded,7,0.071
17511,Home Appliances,group,Cambodia,KH,shared,field_partner,5,125,English,monthly,Personal Use,funded,8,0.16
17512,Clothing Sales,female,Nicaragua,NI,shared,field_partner,14,375,Spanish,monthly,Clothing,funded,1 Year,0.077
17513,Blacksmith,male,Kenya,KE,shared,field_partner,10,250,English,irregular,Manufacturing,funded,11,0.02
17514,General Store,female,Peru,PE,shared,field_partner,41,1125,Spanish,monthly,Retail,funded,14,0.071
17515,Personal Housing Expenses,male,Guatemala,GT,shared,field_partner,6,475,Spanish,monthly,Housing,not_funded,14,0.067
17516,Clothing Sales,female,Kenya,KE,shared,field_partner,14,450,English,monthly,Clothing,funded,14,0.02
17517,Farming,female,Cambodia,KH,not shared,field_partner,7,300,English,irregular,Agriculture,funded,15,0.16
17518,Charcoal Sales,female,Philippines,PH,shared,field_partner,7,175,English,irregular,Retail,funded,8,0.039
17519,Consumer Goods,female,Tajikistan,TJ,not shared,field_partner,5,525,Russian,monthly,Personal Use,funded,20,0.294
17520,Personal Products Sales,female,Philippines,PH,shared,field_partner,7,450,English,irregular,Retail,not_funded,9,0.422
17521,Farming,female,Kenya,KE,shared,field_partner,4,100,English,monthly,Agriculture,funded,8,0.02
17522,Farming,female,Philippines,PH,shared,field_partner,8,300,English,monthly,Agriculture,funded,8,0.027
17523,Personal Housing Expenses,male,Tajikistan,TJ,shared,field_partner,15,400,English,monthly,Housing,funded,20,0.033
17524,Grocery Store,female,Honduras,HN,shared,field_partner,38,1100,Spanish,monthly,Food,funded,15,0.113
17525,Motorcycle Transport,male,Bolivia,BO,shared,field_partner,53,1450,Spanish,monthly,Transportation,funded,15,0.043
17526,Farm Supplies,male,Nicaragua,NI,not shared,field_partner,15,500,Spanish,bullet,Agriculture,funded,14,0.161
17527,Pigs,female,Philippines,PH,shared,field_partner,9,225,English,irregular,Agriculture,funded,1 Year,0.055
17528,Food Production/Sales,male,Tajikistan,TJ,shared,field_partner,51,1600,Russian,irregular,Food,funded,10,0.021
17529,Motorcycle Transport,male,Kenya,KE,shared,field_partner,9,250,English,monthly,Transportation,funded,8,0.223
17530,Fish Selling,female,Senegal,SN,shared,field_partner,8,475,French,bullet,Food,funded,8,0.449
17531,Agriculture,female,Tajikistan,TJ,shared,field_partner,13,500,Russian,monthly,Agriculture,funded,11,0.294
17532,Property,female,Guatemala,GT,shared,field_partner,15,400,Spanish,monthly,Housing,funded,14,0.082
17533,General Store,group,Dominican Republic,DO,shared,field_partner,79,4400,English,irregular,Retail,not_funded,14,0.078
17534,Shoe Sales,female,Togo,TG,shared,field_partner,3,75,French,irregular,Retail,funded,6,0.067
17535,Agriculture,female,Honduras,HN,shared,field_partner,21,525,Spanish,monthly,Agriculture,funded,14,0.077
17536,Agriculture,female,Kenya,KE,shared,field_partner,10,250,English,monthly,Agriculture,funded,8,0.02
17537,General Store,female,Philippines,PH,shared,field_partner,5,600,English,irregular,Retail,funded,7,0.422
17538,Personal Housing Expenses,male,Senegal,SN,not shared,field_partner,9,225,French,monthly,Housing,funded,1 Year,0.449
17539,General Store,female,Timor-Leste,TL,not shared,field_partner,18,600,English,monthly,Retail,funded,15,0.406
17540,Personal Expenses,male,Nigeria,NG,shared,field_partner,8,700,English,bullet,Personal Use,not_funded,15,0.311
17541,Motorcycle Transport,male,Peru,PE,shared,field_partner,20,1250,Spanish,monthly,Transportation,not_funded,17,0.089
17542,Food,female,Kenya,KE,shared,field_partner,10,300,English,irregular,Food,funded,14,0.075
17543,Fish Selling,female,Cambodia,KH,not shared,field_partner,29,1200,English,monthly,Food,funded,20,0.16
17544,Cattle,male,El Salvador,SV,shared,field_partner,15,700,Spanish,bullet,Agriculture,funded,14,0.077
17545,Fruits & Vegetables,group,Zimbabwe,ZW,shared,field_partner,32,1300,English,monthly,Food,funded,8,0.024
17546,Services,female,Philippines,PH,shared,field_partner,6,225,English,irregular,Services,funded,8,0.055
17547,Food Production/Sales,female,Benin,BJ,shared,field_partner,9,225,French,monthly,Food,funded,9,0.278
17548,General Store,group,Sierra Leone,SL,shared,field_partner,34,925,English,monthly,Retail,funded,1 Year,0.423
17549,Personal Housing Expenses,male,Nicaragua,NI,not shared,field_partner,14,450,Spanish,monthly,Housing,funded,22,0.161
17550,Food Market,group,Sierra Leone,SL,shared,field_partner,110,2975,English,monthly,Food,funded,8,0.319
17551,Farming,group,Cambodia,KH,shared,field_partner,11,375,English,monthly,Agriculture,funded,14,0.097
17552,Food Market,group,Uganda,UG,shared,field_partner,83,2775,English,irregular,Food,funded,6,0.013
17553,Grocery Store,male,Nicaragua,NI,shared,field_partner,32,1175,Spanish,monthly,Food,not_funded,15,0.112
17554,Personal Housing Expenses,female,El Salvador,SV,shared,field_partner,16,1300,Spanish,monthly,Housing,not_funded,26,0.077
17555,Bakery,female,Tajikistan,TJ,shared,field_partner,26,1050,Russian,monthly,Food,funded,14,0.021
17556,Agriculture,female,Ecuador,EC,not shared,field_partner,9,600,Spanish,bullet,Agriculture,funded,14,0.014
17557,Home Appliances,group,Cambodia,KH,not shared,field_partner,7,275,English,monthly,Personal Use,funded,8,0.204
17558,Dairy,male,Kenya,KE,shared,field_partner,19,500,English,irregular,Agriculture,funded,15,0.02
17559,Personal Housing Expenses,female,Philippines,PH,shared,field_partner,7,175,English,irregular,Housing,funded,14,0.055
17560,Fruits & Vegetables,female,Colombia,CO,shared,field_partner,10,250,Spanish,monthly,Food,funded,14,0.005
17561,General Store,male,El Salvador,SV,not shared,field_partner,14,600,Spanish,monthly,Retail,funded,14,0.201
17562,Sewing,female,Colombia,CO,not shared,field_partner,7,300,Spanish,monthly,Services,funded,14,0.005
17563,Poultry,female,Philippines,PH,shared,field_partner,9,400,English,irregular,Agriculture,funded,8,0.055
17564,Tailoring,female,Jordan,JO,shared,field_partner,28,725,English,monthly,Services,funded,15,0.005
17565,Food,female,Colombia,CO,shared,field_partner,8,1575,Spanish,bullet,Food,not_funded,26,0.005
17566,General Store,female,Philippines,PH,shared,field_partner,11,350,English,irregular,Retail,funded,11,0.055
17567,Home Appliances,group,Cambodia,KH,shared,field_partner,4,100,English,monthly,Personal Use,funded,8,0.353
17568,General Store,female,Philippines,PH,shared,field_partner,11,275,English,irregular,Retail,funded,8,0.055
17569,Farming,male,Nigeria,NG,shared,field_partner,9,650,English,bullet,Agriculture,not_funded,20,0.311
17570,Transportation,female,Cambodia,KH,not shared,field_partner,10,250,English,monthly,Transportation,funded,1 Year,0.204
17571,Pigs,female,Vietnam,VN,not shared,field_partner,18,450,English,irregular,Agriculture,funded,14,0.013
17572,Personal Housing Expenses,male,Guatemala,GT,shared,field_partner,26,825,Spanish,monthly,Housing,funded,20,0.082
17573,Clothing Sales,female,Philippines,PH,not shared,field_partner,13,325,English,irregular,Clothing,funded,8,0.029
17574,Home Products Sales,female,Sierra Leone,SL,shared,field_partner,46,1175,English,monthly,Retail,funded,10,0.319
17575,Food Market,female,Togo,TG,shared,field_partner,9,450,French,irregular,Food,funded,8,0.067
17576,Food,female,Kenya,KE,shared,field_partner,20,600,English,irregular,Food,funded,13,0.075
17577,Land Rental,male,El Salvador,SV,shared,field_partner,23,600,Spanish,bullet,Agriculture,funded,14,0.054
17578,Fish Selling,female,Philippines,PH,shared,field_partner,16,400,English,irregular,Food,funded,8,0.091
17579,Motorcycle Transport,male,Kenya,KE,shared,field_partner,7,200,English,monthly,Transportation,funded,8,0.223
17580,Home Energy,female,Kenya,KE,shared,field_partner,1,50,English,monthly,Personal Use,funded,8,0.509
17581,Livestock,female,Philippines,PH,shared,field_partner,7,300,English,irregular,Agriculture,funded,14,0.055
17582,Crafts,female,Peru,PE,not shared,field_partner,6,325,Spanish,irregular,Arts,funded,5,0.069
17583,Personal Housing Expenses,female,Philippines,PH,shared,field_partner,3,150,English,irregular,Housing,funded,13,0.055
17584,Fruits & Vegetables,female,Senegal,SN,not shared,field_partner,27,825,French,monthly,Food,funded,8,0.449
17585,Weaving,female,Philippines,PH,not shared,field_partner,9,225,English,irregular,Arts,funded,8,0.029
17586,Bakery,male,El Salvador,SV,shared,field_partner,17,1200,Spanish,monthly,Food,not_funded,27,0.054
17587,Higher education costs,male,Peru,PE,shared,field_partner,151,5075,Spanish,bullet,Education,funded,62,0
17588,Farm Supplies,male,El Salvador,SV,shared,field_partner,12,600,Spanish,bullet,Agriculture,not_funded,13,0.077
17589,Higher education costs,male,Tajikistan,TJ,shared,field_partner,8,425,English,monthly,Education,funded,14,0.033
17590,Farming,male,Nigeria,NG,shared,field_partner,8,275,English,bullet,Agriculture,funded,19,0.311
17591,Retail,female,Nicaragua,NI,shared,field_partner,22,825,Spanish,irregular,Retail,funded,10,0.108
17592,Personal Housing Expenses,male,Cambodia,KH,not shared,field_partner,12,300,English,irregular,Housing,funded,15,0.16
17593,General Store,female,Philippines,PH,shared,field_partner,16,625,English,irregular,Retail,funded,8,0.422
17594,Motorcycle Transport,male,Philippines,PH,shared,field_partner,12,500,English,irregular,Transportation,funded,8,0.039
17595,Livestock,female,Pakistan,PK,shared,field_partner,12,300,English,monthly,Agriculture,funded,14,0.039
17596,Farming,group,Cambodia,KH,shared,field_partner,14,825,English,monthly,Agriculture,funded,14,0.121
17597,Beverages,group,Ghana,GH,shared,field_partner,43,2275,English,irregular,Food,funded,9,0.058
17598,Food Production/Sales,female,Philippines,PH,shared,field_partner,16,450,English,irregular,Food,funded,7,0.055
17599,Food Stall,female,Kenya,KE,shared,field_partner,8,200,English,irregular,Food,funded,13,0.075
17600,Weaving,group,Guatemala,GT,shared,field_partner,16,400,Spanish,monthly,Arts,funded,8,0.082
17601,Poultry,female,Uganda,UG,shared,field_partner,7,200,English,irregular,Agriculture,funded,10,0.013
17602,Clothing Sales,female,Tajikistan,TJ,shared,field_partner,33,1000,English,monthly,Clothing,funded,26,0.086
17603,Personal Expenses,male,Nigeria,NG,shared,field_partner,5,225,English,bullet,Personal Use,not_funded,14,0.311
17604,General Store,male,Uganda,UG,shared,field_partner,33,1200,English,monthly,Retail,funded,15,0.417
17605,Tailoring,female,Afghanistan,AF,not shared,field_partner,7,325,English,monthly,Services,funded,11,0.117
17606,Animal Sales,female,Pakistan,PK,shared,field_partner,10,300,English,monthly,Agriculture,funded,14,0.039
17607,Pigs,female,El Salvador,SV,shared,field_partner,4,1100,Spanish,monthly,Agriculture,not_funded,20,0.054
17608,Phone Accessories,female,Pakistan,PK,shared,field_partner,12,300,English,monthly,Retail,funded,14,0.039
17609,Vehicle,female,Cambodia,KH,not shared,field_partner,29,800,English,monthly,Personal Use,funded,20,0.12
17610,Food Production/Sales,female,Kenya,KE,shared,field_partner,10,250,English,irregular,Food,funded,9,0.075
17611,General Store,female,Philippines,PH,shared,field_partner,19,1125,English,irregular,Retail,funded,6,0.422
17612,General Store,female,Philippines,PH,shared,field_partner,12,350,English,irregular,Retail,funded,8,0.055
17613,Farming,female,Kenya,KE,shared,field_partner,11,375,English,monthly,Agriculture,funded,14,0.02
17614,Food Production/Sales,male,Philippines,PH,not shared,field_partner,9,350,English,irregular,Food,funded,7,0.055
17615,General Store,female,Philippines,PH,shared,field_partner,7,650,English,irregular,Retail,funded,4,0.029
17616,Electrician,male,Lebanon,LB,not shared,field_partner,59,1500,English,monthly,Services,funded,14,0.003
17617,Pigs,female,Philippines,PH,shared,field_partner,21,550,English,irregular,Agriculture,funded,11,0.055
17618,Carpentry,male,Kenya,KE,shared,field_partner,11,300,English,monthly,Construction,funded,14,0.223
